course_code,course_name,professor,semester,syllabus_summary
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화09:00-10:30,화18:00-19:00. Venue: 학대공연장/집408."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화09:00-10:30,화18:00-19:00. Venue: 학대공연장/집309."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화09:00-10:30,화18:00-19:00. Venue: 학대공연장/집303."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화09:00-10:30,화18:00-19:00. Venue: 학대공연장/집308."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,목09:00-10:30. Venue: 센B107/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,목09:00-10:30. Venue: 센B107/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,목09:00-10:30. Venue: 광203/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,목09:00-10:30. Venue: 광203/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월18:00-19:00,목09:00-10:30. Venue: 광720/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,수09:00-10:30. Venue: 이205/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,수09:00-10:30. Venue: 충101/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,수09:00-10:30. Venue: 영405/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화18:00-19:00,수09:00-10:30. Venue: 영B03/학대공연장."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화10:30-12:00,목19:00-20:00. Venue: 대양홀강당/충905."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화10:30-12:00,목19:00-20:00. Venue: 대양홀강당/집302."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화10:30-12:00,목19:00-20:00. Venue: 대양홀강당/센B203."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 화10:30-12:00,목19:00-20:00. Venue: 대양홀강당/센B209."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/광1120B."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/세109."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/세204."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/영B03."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/충1111."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/광209."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/충105A."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/광110."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 월09:00-10:30,월18:00-19:00. Venue: 학대공연장/군107."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군504."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군505."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군506."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군514(Lab-B)."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군515(Lab-C)."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군516(Lab-D)."
011614,Career Path Design for Freshmen,Ha Jin-Yong,2026-1,"Classification: Required Courses. Credits: 1.0. Hours: 목10:30-12:00,목18:00-19:30. Venue: 학대공연장/군513(Lab-A)."
009068,Western Philosophy : Issue and Discussion,Seokbae Lee,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화14:00-16:00. Venue: 이102.
009068,Western Philosophy : Issue and Discussion,Jiwon Byun,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화14:00-16:00. Venue: 이103.
009068,Western Philosophy : Issue and Discussion,LEE CHUL WOO,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화14:00-16:00. Venue: 이202.
009068,Western Philosophy : Issue and Discussion,"Chi, Ill Guy",2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화16:00-18:00. Venue: 이102.
009068,Western Philosophy : Issue and Discussion,Jiwon Byun,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화16:00-18:00. Venue: 이103.
009068,Western Philosophy : Issue and Discussion,LEE CHUL WOO,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화16:00-18:00. Venue: 이202.
009068,Western Philosophy : Issue and Discussion,,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화16:00-18:00. Venue: 이203.
009068,Western Philosophy : Issue and Discussion,Ko Hyun Bum,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월14:00-16:00. Venue: 이102.
009068,Western Philosophy : Issue and Discussion,Jiwon Byun,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월14:00-16:00. Venue: 이103.
009068,Western Philosophy : Issue and Discussion,Seokbae Lee,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월14:00-16:00. Venue: 이202.
009068,Western Philosophy : Issue and Discussion,,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월14:00-16:00. Venue: 이203.
009068,Western Philosophy : Issue and Discussion,Ko Hyun Bum,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월16:00-18:00. Venue: 이102.
009068,Western Philosophy : Issue and Discussion,Jiwon Byun,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월16:00-18:00. Venue: 이103.
009068,Western Philosophy : Issue and Discussion,Seokbae Lee,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월16:00-18:00. Venue: 이202.
009068,Western Philosophy : Issue and Discussion,,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 월16:00-18:00. Venue: 이203.
009068,Western Philosophy : Issue and Discussion,Kang Dongwon,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화09:00-11:00. Venue: 이102.
009068,Western Philosophy : Issue and Discussion,"Chi, Ill Guy",2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화09:00-11:00. Venue: 이103.
009068,Western Philosophy : Issue and Discussion,,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화09:00-11:00. Venue: 이202.
009068,Western Philosophy : Issue and Discussion,Ko Hyun Bum,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화09:00-11:00. Venue: 이203.
009068,Western Philosophy : Issue and Discussion,Kang Dongwon,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화11:00-13:00. Venue: 이102.
009068,Western Philosophy : Issue and Discussion,"Chi, Ill Guy",2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화11:00-13:00. Venue: 이103.
009068,Western Philosophy : Issue and Discussion,,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화11:00-13:00. Venue: 이202.
009068,Western Philosophy : Issue and Discussion,Ko Hyun Bum,2026-1,Classification: Required Courses. Credits: 3.0. Hours: 화11:00-13:00. Venue: 이203.
