name,department,office,email,research_interests
Ha Jin-Yong,,학대공연장/집408,,
Seokbae Lee,Daeyang Humanity College,이102,,
Jiwon Byun,Daeyang Humanity College,이103,,
LEE CHUL WOO,Daeyang Humanity College,이202,,
"Chi, Ill Guy",Daeyang Humanity College,이102,,
Ko Hyun Bum,Daeyang Humanity College,이102,,
Kang Dongwon,Daeyang Humanity College,이102,,
JisunLee,Daeyang Humanity College,이102,,
Lee Youngshim,Daeyang Humanity College,세102,,
Minjoo Kim,Daeyang Humanity College,세101,,
Lee Sook Young,Daeyang Humanity College,세202,,
Yongjae Lee,Daeyang Humanity College,군517(Lab-E),,
Jieun Shin,Daeyang Humanity College,,,
Kyle F McCullagh,Daeyang Humanity College,군514(Lab-B),,
Shion Kang,Daeyang Humanity College,군515(Lab-C),,
Todd Tate,Daeyang Humanity College,군516(Lab-D),,
Tory Stephen Thorkelson,Daeyang Humanity College,군517(Lab-E),,
"Ok, Sungsoo",Daeyang Humanity College,군502(Lab-F),,
David M Hindman,Daeyang Humanity College,군513(Lab-A),,
Gordon Maccoy,Daeyang Humanity College,군514(Lab-B),,
Michael Andrew Dirks,Daeyang Humanity College,군515(Lab-C),,
John P. Bernabei,Daeyang Humanity College,군517(Lab-E),,
Hye Won Byun,Daeyang Humanity College,군502(Lab-F),,
Hyun Ah Kim,Daeyang Humanity College,군514(Lab-B),,
Young In Chang,Daeyang Humanity College,군515(Lab-C),,
Catherine Gallagher,Daeyang Humanity College,군516(Lab-D),,
Maria Choe,Daeyang Humanity College,군515(Lab-C),,
Laura Fitch,Daeyang Humanity College,군514(Lab-B),,
Sun Young Park,Daeyang Humanity College,군516(Lab-D),,
"Yang, Jeonghyeon",Daeyang Humanity College,이102,,
HEO JINHYUK,Daeyang Humanity College,이103,,
Song Chihyuk,Daeyang Humanity College,이202,,
PARK LEE JUNG,Daeyang Humanity College,이203,,
Lee Dong Jae,Daeyang Humanity College,이102,,
Jin Sun Young,Daeyang Humanity College,이103,,
Choi Jungyun,Daeyang Humanity College,이202,,
Lee Youngmyn,Daeyang Humanity College,이102,,
EUGENE LEE,Daeyang Humanity College,이102,,
Jung Sanghee,Daeyang Humanity College,집303,,
"Kim, Gunn",Daeyang Humanity College,군504,,
Soo Jeung Lee,Daeyang Humanity College,군504,,
Yongjung Kim,Daeyang Humanity College,군505,,
JIHYE KIM,Daeyang Humanity College,군506,,
WonJae Shin,Daeyang Humanity College,군514(Lab-B),,
Segun Goh,Daeyang Humanity College,군515(Lab-C),,
"Zee, Woong-bae",Daeyang Humanity College,군516(Lab-D),,
"Lim, Jin cheol",Daeyang Humanity College,군513(Lab-A),,
Yeachan Park,Daeyang Humanity College,군107,,
"Oh, Jang-heon",Daeyang Humanity College,광106,,
"Lee,Hee-won",Daeyang Humanity College,광211,,
"Moon, Dong Ho",Daeyang Humanity College,군107,,
"Lim, Jun Seok",Daeyang Humanity College,광106,,
Ju Myung Kim,Daeyang Humanity College,광211,,
"Lee, Ji Eun",Daeyang Humanity College,군107,,
YOUNGJOO.SEO,Daeyang Humanity College,군107,,
"Byun, Taechang",Daeyang Humanity College,광106,,
Algabri Redhwan Nasser Ali,Daeyang Humanity College,센B103,,
Yongsun Kim,Daeyang Humanity College,호302/영B01,,
Dastgeer GHULAM,Daeyang Humanity College,영B01,,
"Han, Sang-Don",Daeyang Humanity College,센B205/영201,,
Chanho Park,Daeyang Humanity College,영201/센B205,,
SuJin Lee,Daeyang Humanity College,,,
"Tak, Jin-young",Daeyang Humanity College,,,
"Lee, Jong-weon",Daeyang Humanity College,,,
Kee-Sun Sohn,Daeyang Humanity College,,,
Kim Mun Suk,Daeyang Humanity College,,,
"Baik, Sung-wook",Daeyang Humanity College,,,
Lilia Tightiz,Daeyang Humanity College,센B112,,
Chang-Jae Chun,Daeyang Humanity College,,,
Abolghasem Sadeghi-Niaraki,Daeyang Humanity College,,,
Woosuk Choi,Daeyang Humanity College,,,
Seok Jeongjoo,Daeyang Humanity College,세206,,
"Kim, Joon-Seok",Daeyang Humanity College,광202,,
"Zhang, Mengze",Daeyang Humanity College,세206,,
Hongseok Choi,Daeyang Humanity College,광206,,
LEE WON KEE,Daeyang Humanity College,광206,,
Lee Hee Soo,Daeyang Humanity College,광203,,
"Yang, Seung Joon",Daeyang Humanity College,애101,,
kim Young Mi,Daeyang Humanity College,군319,,
Seunghwan Ko,Daeyang Humanity College,군109B,,
LEE CHEOL UNG,Daeyang Humanity College,군109B,,
"Jeong, Jinkyu",Daeyang Humanity College,광206,,
LIM HONGTAE,Daeyang Humanity College,,,
Hyogeun PAHK,Daeyang Humanity College,집401,,
Park seungwon,Daeyang Humanity College,군109B,,
